"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C18H28O"	"[M + H3N + H]+"	"C18H32NO+"	"Terpenoids"	0.947	"Diterpenoids"	0.652	"Apocarotenoids (β-)"	0.126	"Lipids and lipid-like molecules"	0.916	"Prenol lipids"	0.736	"Diterpenoids"	0.549	NA	NA	"Diterpenoids"	0.549	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Diterpenoids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	278.249	488	8.131	707667076821981184	707666540387241472	1757	NA	1757
8	"C23H24N6O3S"	"[M + H]+"	"C23H25N6O3S+"	"Amino acids and Peptides"	0.586	"Oligopeptides"	0.082	"Cyclamides"	0.194	"Benzenoids"	0.957	"Benzene and substituted derivatives"	0.888	NA	NA	NA	NA	"Benzene and substituted derivatives"	0.888	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	465.169	488	8.137	707667108832910976	707666540429184512	1759	NA	1759
2	"C20H19NO5"	"[M + H3N + H]+"	"C20H23N2O5+"	"Alkaloids"	0.586	"Anthranilic acid alkaloids"	0.108	"Cinnamic acid amides"	0.028	"Benzenoids"	0.971	"Benzene and substituted derivatives"	0.622	NA	NA	NA	NA	"Benzene and substituted derivatives"	0.622	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	371.16	488	8.137	707667122162409728	707666540408212992	1758	NA	1758
1	"C22H28F2N2O7"	"[M + H3N + H]+"	"C22H32F2N3O7+"	"Terpenoids"	0.548	"Steroids"	0.208	"Pregnane steroids"	0.1	"Organohalogen compounds"	1	"Aryl halides"	0.35	"Aryl fluorides"	0.546	NA	NA	"Aryl fluorides"	0.546	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl fluorides; Aryl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Cyclic alcohols and derivatives; Organofluorides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fluorohydrins; Alkyl halides; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	488.222	490	8.162	707667129582133760	707666540475321856	1761	NA	1761
2	"C25H30ClN5O3"	"[M + Na]+"	"C25H30ClN5NaO3+"	"Alkaloids"	0.634	"Tryptophan alkaloids"	0.437	"Carboline alkaloids"	0.189	"Organic acids and derivatives"	0.885	"Carboxylic acids and derivatives"	0.861	"Amino acids, peptides, and analogues"	0.525	"Amino acids and derivatives"	0.524	"Amino acids and derivatives"	0.524	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Halobenzenes; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	506.195	490	8.162	707667135852618624	707666540496293376	1762	NA	1762
1	"C14H26O"	"[M + H3N + H]+"	"C14H30NO+"	"Fatty acids"	0.88	"Fatty acyls"	0.83	"Fatty alcohols"	0.469	"Lipids and lipid-like molecules"	0.592	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.592	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	228.233	490	8.17	707667099232148736	707666540563402368	1765	NA	1765
2	"C22H47NO2"	"[M + H]+"	"C22H48NO2+"	"Fatty acids"	0.916	"Spingolipids"	0.514	"Sphingoid bases"	0.91	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	1	"Alkanolamines"	0.987	"1,2-aminoalcohols"	0.986	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	358.365	490	8.17	707667070979315328	707666540542430848	1764	NA	1764
2	"C16H34N2O2"	"[M - H2O + H]+"	"C16H33N2O+"	"Fatty acids"	0.918	"Fatty amides"	0.732	"N-acyl ethanolamines (endocannabinoids)"	0.328	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.938	"Alkanolamines"	0.8	"1,2-aminoalcohols"	0.696	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	269.257	490	8.17	707667080261310720	707666540521459328	1763	NA	1763
1	"C16H29NO"	"[M + H3N + H]+"	"C16H33N2O+"	"Fatty acids"	0.996	"Fatty amides"	0.992	"Primary amides"	0.97	"Lipids and lipid-like molecules"	0.614	"Fatty Acyls"	0.599	"Fatty amides"	0.659	NA	NA	"Fatty amides"	0.659	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	269.26	490	8.173	707667083130214784	707666540588568192	1766	NA	1766
1	"C14H26O"	"[M + H3N + H]+"	"C14H30NO+"	"Fatty acids"	0.977	"Fatty acyls"	0.984	"Fatty alcohols"	0.883	"Lipids and lipid-like molecules"	0.548	"Fatty Acyls"	0.452	"Fatty alcohols"	0.537	NA	NA	"Fatty alcohols"	0.537	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Fatty alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	228.233	491	8.175	707667065342170496	707666540609539712	1767	NA	1767
1	"C37H66N10O12"	"[M - H2O + H]+"	"C37H65N10O11+"	"Amino acids and Peptides"	0.99	"Oligopeptides"	0.995	"Cyclic peptides"	0.734	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.997	"Amino acids, peptides, and analogues"	0.995	"Peptides"	0.835	"Oligopeptides"	0.631	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"	825.483	491	8.177	707667083138603392	707666540672454272	1770	NA	1770
1	"C44H80NO8P"	"[M + K]+"	"C44H80KNO8P+"	"Fatty acids"	0.998	"Glycerophospholipids"	0.999	"Glycerophosphoethanolamines"	0.331	"Lipids and lipid-like molecules"	0.988	"Glycerophospholipids"	0.99	NA	NA	NA	NA	"Glycerophospholipids"	0.99	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Secondary alcohols; Carbonyl compounds; Amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	820.527	491	8.177	707667110183476992	707666540651482752	1769	NA	1769
1	"C14H26O"	"[M + H3N + H]+"	"C14H30NO+"	"Fatty acids"	0.95	"Fatty acyls"	0.977	"Fatty alcohols"	0.886	"Lipids and lipid-like molecules"	0.526	"Fatty Acyls"	0.361	"Fatty alcohols"	0.529	NA	NA	"Fatty alcohols"	0.529	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Fatty alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	228.231	491	8.179	707667093188156288	707666540722785920	1772	NA	1772
2	"C22H47NO2"	"[M + H]+"	"C22H48NO2+"	"Fatty acids"	0.912	"Spingolipids"	0.504	"Sphingoid bases"	0.904	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	1	"Alkanolamines"	0.991	"1,2-aminoalcohols"	0.992	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	358.37	491	8.179	707667100939230592	707666540747951744	1773	NA	1773
2	"C22H47NO2"	"[M + H]+"	"C22H48NO2+"	"Fatty acids"	0.935	"Spingolipids"	0.576	"Sphingoid bases"	0.929	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	1	"Alkanolamines"	0.987	"1,2-aminoalcohols"	0.987	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	358.369	491	8.182	707667079279843456	707666541171576448	1792	NA	1792
2	"C40H73N5O10"	"[M - H2O + H]+"	"C40H72N5O9+"	"Amino acids and Peptides"	0.978	"Oligopeptides"	0.985	"Cyclic peptides"	0.556	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.996	"Amino acids, peptides, and analogues"	0.943	"Peptides"	0.651	"Peptides"	0.651	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	766.535	491	8.187	707667090088565504	707666540815060608	1776	NA	1776
2	"C46H68O8"	"[M + H3N + H]+"	"C46H72NO8+"	"Terpenoids"	0.814	"Glycerolipids"	0.451	"Triacylglycerols"	0.397	"Organic acids and derivatives"	0.972	"Carboxylic acids and derivatives"	0.943	"Tricarboxylic acids and derivatives"	0.571	NA	NA	"Tricarboxylic acids and derivatives"	0.571	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	766.526	491	8.187	707667105431330304	707666540794089088	1775	NA	1775
1	"C22H47NO2"	"[M + H]+"	"C22H48NO2+"	"Fatty acids"	0.991	"Spingolipids"	0.674	"Sphingoid bases"	0.858	"Organic oxygen compounds"	0.994	"Organooxygen compounds"	0.94	"Alcohols and polyols"	0.713	"Primary alcohols"	0.528	"Primary alcohols"	0.528	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	358.37	491	8.188	707667076566128512	707666540701814400	1771	NA	1771
1	"C23H45NO"	"[M + H3N + H]+"	"C23H49N2O+"	"Fatty acids"	1	"Fatty amides"	0.999	"N-acyl amines"	0.754	"Lipids and lipid-like molecules"	0.989	"Fatty Acyls"	0.988	"Fatty amides"	0.991	"N-acyl amines"	0.971	"N-acyl amines"	0.971	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	369.382	492	8.196	707667067342853632	707666540857003648	1778	NA	1778
3	"C23H48N2O"	"[M + H]+"	"C23H49N2O+"	"Fatty acids"	0.998	"Fatty amides"	0.995	"N-acyl amines"	0.921	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.966	"Amino acids and derivatives"	0.966	"Amino acids and derivatives"	0.966	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	369.386	492	8.198	707667062469072000	707666540877975168	1779	NA	1779
1	"C44H64O7"	"[M + H3N + H]+"	"C44H68NO7+"	"Terpenoids"	0.843	"Carotenoids (C40)"	0.293	"Tigliane diterpenoids"	0.211	"Lipids and lipid-like molecules"	0.851	"Prenol lipids"	0.601	NA	NA	NA	NA	"Prenol lipids"	0.601	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	722.5	492	8.204	707667075576272768	707666540924112512	1781	NA	1781
1	"C43H64N2O6"	"[M + H3N + H]+"	"C43H68N3O6+"	"Alkaloids"	0.402	"Macrolides"	0.269	"Isoquinoline alkaloids"	0.104	"Benzenoids"	0.93	"Benzene and substituted derivatives"	0.798	"Phenoxy compounds"	0.527	NA	NA	"Phenoxy compounds"	0.527	"Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	722.509	492	8.207	707667093469174656	707666540945084032	1782	NA	1782
3	"C43H64N2O6"	"[M + H3N + H]+"	"C43H68N3O6+"	"Alkaloids"	0.41	"Pseudoalkaloids (transamidation)"	0.247	"Steroidal alkaloids"	0.112	"Organic acids and derivatives"	0.998	"Carboxylic acids and derivatives"	0.996	"Amino acids, peptides, and analogues"	0.871	"Amino acids and derivatives"	0.868	"Alpha amino acids and derivatives"	0.545	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Trialkylamines; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	722.509	492	8.207	707667141414265984	707666540903140992	1780	NA	1780
2	"C20H43NO"	"[M + H]+"	"C20H44NO+"	"Fatty acids"	0.997	"Spingolipids"	0.831	"Sphingoid bases"	0.99	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.999	"Alkanolamines"	0.983	"1,2-aminoalcohols"	0.977	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	314.34	493	8.213	707667093657918464	707666540991221376	1784	NA	1784
2	"C20H43NO"	"[M + H]+"	"C20H44NO+"	"Fatty acids"	0.989	"Spingolipids"	0.868	"Sphingoid bases"	0.99	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.999	"Alkanolamines"	0.981	"1,2-aminoalcohols"	0.978	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	314.343	494	8.226	707667064780133632	707666541058330240	1787	NA	1787
4	"C41H63N3O5"	"[M + H]+"	"C41H64N3O5+"	"Alkaloids"	0.433	"Pseudoalkaloids (transamidation)"	0.341	"Open-chain polyketides"	0.121	"Organic acids and derivatives"	0.942	"Carboxylic acids and derivatives"	0.895	"Amino acids, peptides, and analogues"	0.643	"Amino acids and derivatives"	0.638	"Amino acids and derivatives"	0.638	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Phenethylamines; Amphetamines and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Primary amines; Aralkylamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	678.483	494	8.229	707667080156452992	707666541150604928	1791	NA	1791
1	"C18H28O"	"[M + H3N + H]+"	"C18H32NO+"	"Terpenoids"	0.928	"Diterpenoids"	0.672	"Farnesane sesquiterpenoids"	0.206	"Lipids and lipid-like molecules"	0.874	"Prenol lipids"	0.708	NA	NA	NA	NA	"Prenol lipids"	0.708	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	278.246	494	8.23	707667087509068416	707666541104467584	1789	NA	1789
1	"C34H65N5O7"	"[M + Na]+"	"C34H65N5NaO7+"	"Amino acids and Peptides"	0.962	"Oligopeptides"	0.974	"Linear peptides"	0.196	"Organic acids and derivatives"	0.994	"Carboxylic acids and derivatives"	0.985	"Amino acids, peptides, and analogues"	0.955	"Peptides"	0.571	"Peptides"	0.571	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	678.475	494	8.23	707667088859634304	707666541125439104	1790	NA	1790
1	"C15H29FO2"	"[M + H3N + H]+"	"C15H33FNO2+"	"Fatty acids"	0.593	"Fatty Acids and Conjugates"	0.452	"Halogenated fatty acids"	0.751	"Organic oxygen compounds"	0.997	"Organooxygen compounds"	0.977	"Carbonyl compounds"	0.666	NA	NA	"Carbonyl compounds"	0.666	"Organic compounds; Organohalogen compounds; Organooxygen compounds; Organofluorides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	278.25	494	8.24	707667116839837696	707666541507120896	1807	NA	1807
1	"C32H61N5O6"	"[M + Na]+"	"C32H61N5NaO6+"	"Amino acids and Peptides"	0.913	"Oligopeptides"	0.921	"Lipopeptides"	0.216	"Organic acids and derivatives"	0.996	"Carboxylic acids and derivatives"	0.987	"Amino acids, peptides, and analogues"	0.944	"Amino acids and derivatives"	0.935	"N-acyl-alpha amino acids and derivatives"	0.655	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Asparagine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	634.449	495	8.247	707667120543408256	707666541192547968	1793	NA	1793
3	"C34H61N5O7"	"[M - H2O + H]+"	"C34H60N5O6+"	"Amino acids and Peptides"	0.99	"Oligopeptides"	0.931	"Linear peptides"	0.411	"Organic acids and derivatives"	0.997	"Carboxylic acids and derivatives"	0.993	"Amino acids, peptides, and analogues"	0.975	"Amino acids and derivatives"	0.969	"N-acyl-alpha amino acids and derivatives"	0.802	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Phenol ethers; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	634.456	495	8.253	707667078789109760	707666541280628480	1797	NA	1797
1	"C20H44O6P2"	"[M + H3N + H]+"	"C20H48NO6P2+"	"Fatty acids"	0.966	"Glycerophospholipids"	0.156	"Glycerophosphates"	0.452	"Organic acids and derivatives"	0.892	"Organic phosphoric acids and derivatives"	0.529	"Phosphate esters"	0.604	"Alkyl phosphates"	0.515	"Alkyl phosphates"	0.515	"Organic compounds; Ethers; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Dialkyl ethers; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	460.297	495	8.253	707667083969075712	707666541259656960	1796	NA	1796
1	"C20H42O5"	"[M + H]+"	"C20H43O5+"	"Fatty acids"	0.979	"Fatty acyls"	0.791	"Fatty alcohols"	0.682	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Ethers"	0.992	"Dialkyl ethers"	0.991	"Polyethylene glycols"	0.961	"Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	363.312	495	8.253	707667094165429248	707666541238685440	1795	NA	1795
3	"C34H61N5O7"	"[M - H2O + H]+"	"C34H60N5O6+"	"Amino acids and Peptides"	0.93	"Oligopeptides"	0.995	"Lipopeptides"	0.403	"Organic acids and derivatives"	0.998	"Carboxylic acids and derivatives"	0.994	"Amino acids, peptides, and analogues"	0.957	"Amino acids and derivatives"	0.945	"N-acyl-alpha amino acids and derivatives"	0.691	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	634.456	495	8.254	707667132354568960	707666541213519488	1794	NA	1794
